scope_level,scope_code,required_match_type,auto_receive,auto_receive_price_threshold
commodity,10010103,three_way,false,
commodity,10010104,three_way,true,
commodity,10010105,two_way,false,
commodity,10010106,three_way,false,500.00
commodity,11010103,three_way,false,
commodity,11010104,three_way,true,
commodity,11010105,two_way,false,
commodity,11010106,three_way,false,500.00
commodity,12010103,three_way,false,
commodity,12010104,three_way,true,
commodity,12010105,two_way,false,
commodity,13010103,three_way,false,
commodity,13010104,three_way,true,
commodity,13010105,two_way,false,
commodity,14010103,three_way,false,
commodity,14010104,three_way,true,
commodity,14010105,two_way,false,
commodity,15010103,three_way,false,
commodity,15010104,three_way,true,
commodity,15010105,two_way,false,
